Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
TODO, to do
TODOS, to dos
EU, e you
UK, you kay
UK, yuk
zotero
Joplin
Nextcloud
logseq, log seek
logseq
gym, jim

cmake, sea make


Cristiana

nixos, nix os
shift13mi, shift thirteen ami

aegis
rango
ombra

thread, threat
Whatsapp, what's app
Whatsapp


changelog, change lock
ChatGPT, chat G P T
ChatGPT
API
git

X_test, ex test
X_train, ex train
y_test, why test
y_train, why train


influxdb
FFB
DLCI
LCI
LCA
DLCA
Basyx
AAS
Asset Administration Shell

Aachen
Aachen, aken
Maastricht
Maastricht, may stricht
Maastricht, maestri


statblock
Golarion
Salvoy
Andoran
half-orc, half orc
ratfolk
Pathfinder, path finder
Pathfinder 2E, Pathfinder to et
Pathfinder 2E, Pathfinder two e

nao
